species,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Pseudooceanicola batsensis,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,19,0,36,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudooceanicola;Pseudooceanicola batsensis
Gemella asaccharolytica,1,6,3,2,5,3,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,36,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_sedis,Gemella,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella asaccharolytica
Orenia sivashensis,0,2,0,2,6,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4,0,4,0,4,1,36,Bacteria,none,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,Bacteria;none;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Orenia;Orenia sivashensis
Oceanobacillus jeddahense,1,1,5,0,1,2,3,1,2,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1,36,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;Oceanobacillus jeddahense
Arthrobacter psychrolactophilus,1,1,1,4,0,1,2,2,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,3,1,0,0,0,3,3,0,0,1,36,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter psychrolactophilus
Kallipyga massiliensis,2,4,0,3,1,2,1,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,2,2,35,Bacteria,none,Firmicutes,Tissierellia,Tissierellia_Incertae_sedis,Tissierellia_Incertae_sedis_Incertae_sedis,Kallipyga,Bacteria;none;Firmicutes;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis_Incertae_sedis;Kallipyga;Kallipyga massiliensis
Thermincola ferriacetica,1,2,3,1,5,1,2,4,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,1,2,35,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Thermincolaceae,Thermincola,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Thermincolaceae;Thermincola;Thermincola ferriacetica
Mahella australiensis,2,2,4,4,1,0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,2,2,4,35,Bacteria,none,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,Bacteria;none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family IV. Incertae Sedis;Mahella;Mahella australiensis
Kaistella solincola,3,0,2,7,5,1,3,0,1,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,35,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella;Kaistella solincola
Streptomyces albicerus,2,4,4,0,3,1,4,3,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,35,Bacteria,none,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Bacteria;none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces albicerus
Evansella caseinilytica,1,0,6,4,3,2,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,5,0,0,35,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Evansella,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Evansella;Evansella caseinilytica
