genus,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,tax
Alistipes,1108.0,975.0,2875.0,1706.0,4553,2414.0,1393.0,1901.0,921.0,1981.0,99,39.0,67.0,59.0,44.0,54.0,65,107,217.0,36.0,400.0,219.0,127.0,95.0,131.0,146,61.0,199.0,70.0,206.0,63.0,182.0,44.0,123.0,121.0,992.0,311.0,934.0,523.0,351.0,984.0,26896.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
Coprococcus,2601.0,2572.0,4173.0,3303.0,4698,1152.0,1622.0,695.0,605.0,603.0,20,35.0,39.0,16.0,34.0,24.0,40,28,33.0,49.0,80.0,53.0,36.0,42.0,54.0,67,118.0,103.0,127.0,338.0,92.0,67.0,51.0,47.0,103.0,1168.0,148.0,238.0,138.0,243.0,569.0,26224.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus
Enterocloster,1183.0,1108.0,1209.0,1505.0,1629,599.0,696.0,1118.0,1227.0,2100.0,505,264.0,444.0,110.0,183.0,143.0,222,240,177.0,199.0,238.0,209.0,251.0,186.0,201.0,246,311.0,535.0,463.0,1178.0,176.0,419.0,317.0,243.0,213.0,1501.0,678.0,606.0,786.0,1055.0,1210.0,25883.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster
Agathobacter,1495.0,1163.0,1454.0,1366.0,1994,712.0,1761.0,1435.0,1234.0,2189.0,48,84.0,172.0,100.0,125.0,96.0,89,105,111.0,120.0,76.0,98.0,111.0,159.0,116.0,114,131.0,163.0,149.0,546.0,141.0,126.0,129.0,242.0,213.0,1115.0,630.0,956.0,813.0,1516.0,1412.0,24809.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Agathobacter
Jutongia,1184.0,697.0,192.0,358.0,534,1199.0,3568.0,621.0,2966.0,9493.0,31,17.0,69.0,25.0,31.0,15.0,38,33,34.0,48.0,207.0,245.0,119.0,126.0,114.0,76,105.0,116.0,172.0,411.0,108.0,63.0,55.0,68.0,76.0,177.0,85.0,170.0,119.0,168.0,545.0,24478.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jutongia
Acetitomaculum,652.0,734.0,165.0,644.0,744,333.0,353.0,495.0,2348.0,3461.0,96,208.0,637.0,69.0,36.0,35.0,52,26,49.0,342.0,13.0,30.0,81.0,17.0,160.0,35,27.0,323.0,52.0,124.0,28.0,347.0,44.0,319.0,632.0,3341.0,704.0,758.0,1872.0,1426.0,2394.0,24206.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Acetitomaculum
Eubacterium,2149.0,1709.0,1535.0,1722.0,1322,785.0,1345.0,1820.0,1089.0,2882.0,694,65.0,182.0,87.0,187.0,121.0,79,154,374.0,234.0,257.0,38.0,44.0,86.0,54.0,117,49.0,87.0,77.0,279.0,95.0,81.0,58.0,56.0,53.0,395.0,139.0,467.0,313.0,1201.0,1614.0,24095.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium
Dorea,1057.0,1094.0,660.0,1869.0,1527,457.0,1085.0,1179.0,1500.0,1559.0,73,100.0,152.0,63.0,228.0,274.0,325,538,517.0,654.0,57.0,139.0,125.0,146.0,82.0,139,124.0,255.0,253.0,748.0,106.0,171.0,101.0,337.0,354.0,984.0,479.0,616.0,646.0,897.0,2331.0,24001.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Dorea
Ruminococcus,1435.0,664.0,622.0,676.0,592,343.0,1362.0,1042.0,507.0,1384.0,1300,95.0,189.0,53.0,201.0,136.0,120,133,176.0,195.0,346.0,93.0,44.0,213.0,218.0,205,185.0,308.0,239.0,563.0,196.0,375.0,146.0,289.0,261.0,1170.0,521.0,1530.0,650.0,1563.0,1444.0,21784.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus
Butyrivibrio,1545.0,1537.0,1118.0,1270.0,1351,660.0,1302.0,976.0,1181.0,1701.0,33,102.0,194.0,86.0,164.0,139.0,142,217,197.0,211.0,91.0,120.0,90.0,148.0,160.0,135,170.0,212.0,169.0,550.0,92.0,129.0,159.0,185.0,187.0,923.0,434.0,660.0,505.0,679.0,947.0,20871.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio
Anaerobutyricum,3595.0,731.0,920.0,744.0,1753,599.0,1376.0,719.0,830.0,3621.0,95,36.0,93.0,89.0,96.0,65.0,79,84,82.0,90.0,171.0,118.0,278.0,124.0,71.0,105,111.0,139.0,199.0,523.0,89.0,39.0,152.0,227.0,44.0,333.0,321.0,860.0,134.0,505.0,247.0,20487.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobutyricum
Limosilactobacillus,419.0,20.0,18.0,5548.0,270,125.0,3957.0,3077.0,3171.0,3410.0,0,2.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,33,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,8.0,10.0,11.0,12.0,10.0,2.0,20123.0,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
Frisingicoccus,1436.0,1442.0,1995.0,1615.0,2579,741.0,1103.0,1154.0,834.0,1675.0,18,49.0,109.0,53.0,64.0,48.0,93,120,92.0,129.0,57.0,57.0,83.0,141.0,89.0,103,109.0,198.0,165.0,445.0,109.0,88.0,83.0,175.0,106.0,722.0,237.0,527.0,380.0,269.0,483.0,19975.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Frisingicoccus
Prevotella,395.0,507.0,1812.0,740.0,678,672.0,668.0,1308.0,461.0,1249.0,366,178.0,263.0,126.0,75.0,79.0,79,131,322.0,80.0,576.0,39.0,33.0,95.0,157.0,194,44.0,353.0,98.0,269.0,96.0,277.0,29.0,224.0,64.0,1342.0,286.0,930.0,1148.0,679.0,2576.0,19698.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
